# y+ ()       
# Time        	patch         	min           	max           	average       
0.0785        	pipe	3.976318e+01	5.245312e+01	4.592613e+01
0.079         	pipe	3.836752e+01	5.141375e+01	4.466251e+01
0.0795        	pipe	3.706201e+01	5.036985e+01	4.357132e+01
0.08          	pipe	3.610404e+01	6.842431e+01	4.360629e+01
0.0805        	pipe	3.517363e+01	1.320109e+02	4.831962e+01
0.081         	pipe	3.405785e+01	1.272806e+02	4.796074e+01
0.0815        	pipe	3.385552e+01	1.002894e+02	4.423131e+01
0.082         	pipe	3.395563e+01	7.072674e+01	4.130123e+01
0.0825        	pipe	3.429850e+01	5.728230e+01	3.978682e+01
0.083         	pipe	3.304121e+01	5.039308e+01	3.912887e+01
0.0835        	pipe	3.056250e+01	4.705280e+01	3.934553e+01
0.084         	pipe	2.810182e+01	4.926362e+01	4.155623e+01
0.0845        	pipe	2.618450e+01	5.562940e+01	4.649623e+01
0.085         	pipe	2.501788e+01	6.465343e+01	5.317783e+01
0.0855        	pipe	2.437455e+01	7.338140e+01	5.957793e+01
0.086         	pipe	2.403997e+01	8.030175e+01	6.433354e+01
0.0865        	pipe	2.401706e+01	8.504040e+01	6.736276e+01
0.087         	pipe	2.410776e+01	8.802644e+01	6.938439e+01
0.0875        	pipe	2.437048e+01	8.936810e+01	7.034825e+01
0.088         	pipe	2.507331e+01	8.938273e+01	7.022687e+01
0.0885        	pipe	2.654109e+01	8.745501e+01	6.852565e+01
0.089         	pipe	2.823821e+01	8.261433e+01	6.465507e+01
0.0895        	pipe	2.950338e+01	7.690237e+01	6.039018e+01
0.09          	pipe	3.148013e+01	7.076933e+01	5.609323e+01
0.0905        	pipe	3.435412e+01	6.473012e+01	5.193257e+01
0.091         	pipe	3.647570e+01	5.851746e+01	4.800535e+01
0.0915        	pipe	3.599459e+01	5.368023e+01	4.526638e+01
0.092         	pipe	3.560418e+01	5.024942e+01	4.350518e+01
0.0925        	pipe	3.507418e+01	4.722846e+01	4.190563e+01
0.093         	pipe	3.424569e+01	4.501541e+01	4.058348e+01
0.0935        	pipe	3.344715e+01	4.333395e+01	3.947835e+01
0.094         	pipe	3.262412e+01	4.171052e+01	3.835962e+01
0.0945        	pipe	3.176904e+01	4.075067e+01	3.720941e+01
0.095         	pipe	3.108928e+01	4.021268e+01	3.616009e+01
0.0955        	pipe	3.048191e+01	3.957936e+01	3.515420e+01
0.096         	pipe	2.974032e+01	3.888497e+01	3.420264e+01
0.0965        	pipe	2.883073e+01	3.815338e+01	3.330394e+01
0.097         	pipe	2.784617e+01	3.738670e+01	3.250034e+01
0.0975        	pipe	2.708065e+01	3.669270e+01	3.180194e+01
0.098         	pipe	2.680982e+01	3.629765e+01	3.123492e+01
0.0985        	pipe	2.702769e+01	3.641921e+01	3.095792e+01
0.099         	pipe	2.775515e+01	3.708752e+01	3.130997e+01
0.0995        	pipe	2.884682e+01	3.819666e+01	3.196930e+01
0.1           	pipe	2.878966e+01	4.002390e+01	3.323776e+01
